article,question,question_chars,question_words
╨Ü╨░╨║ ╤é╨╛╤Ç╨│╨╛╨▓╨░╤é╤î ╤ä╤î╤Ä╤ç╨╡╤Ç╤ü╨░╨╝╨╕,Что такое вариационная маржа?,29,4
╨Ü╨░╨║ ╨╖╨░╨┐╨╛╨╗╨╜╨╕╤é╤î ╨┤╨╡╨║╨╗╨░╤Ç╨░╤å╨╕╤Ä 3Γüá-Γüá╨¥╨ö╨ñ╨¢ ╨┐╨╛ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╤Å╨╝,**Какие доходы от инвестиций нужно декларировать самостоятельно?**,66,7
╨Ü╨░╨║ ╨╖╨░╨┐╨╛╨╗╨╜╨╕╤é╤î ╨┤╨╡╨║╨╗╨░╤Ç╨░╤å╨╕╤Ä 3Γüá-Γüá╨¥╨ö╨ñ╨¢ ╨┐╨╛ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╤Å╨╝,**Какие налоговые вычеты можно использовать при заполнении декларации 3-НДФЛ по инвестициям?**,94,11
╨Ü╨░╨║ ╨╖╨░╨┐╨╛╨╗╨╜╨╕╤é╤î ╨┤╨╡╨║╨╗╨░╤Ç╨░╤å╨╕╤Ä 3Γüá-Γüá╨¥╨ö╨ñ╨¢ ╨┐╨╛ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╤Å╨╝,**Как правильно указать доходы от продажи валюты и драгоценных металлов в декларации?**,87,12
╨Ü╨░╨║ ╨╖╨░╨┐╨╛╨╗╨╜╨╕╤é╤î ╨┤╨╡╨║╨╗╨░╤Ç╨░╤å╨╕╤Ä 3Γüá-Γüá╨¥╨ö╨ñ╨¢ ╨┐╨╛ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╤Å╨╝,**Как указать доходы от продажи автомобиля в декларации 3-НДФЛ?**,65,9
╨Ü╨░╨║ ╨╖╨░╨┐╨╛╨╗╨╜╨╕╤é╤î ╨┤╨╡╨║╨╗╨░╤Ç╨░╤å╨╕╤Ä 3Γüá-Γüá╨¥╨ö╨ñ╨¢ ╨┐╨╛ ╨╕╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╤Å╨╝,**Как правильно задекларировать дивиденды и купоны от иностранных ценных бумаг?**,81,10
╨ô╨╗╨░╨▓╨╜╨╛╨╡ ╨┐╤Ç╨╛ ╤ü╨░╨╝╨╛╤ü╤é╨╛╤Å╤é╨╡╨╗╤î╨╜╤â╤Ä ╤â╨┐╨╗╨░╤é╤â ╨╜╨░╨╗╨╛╨│╨╛╨▓ ╨╕ ╨┤╨╡╨║╨╗╨░╤Ç╨░╤å╨╕╤Ä 3Γüá-Γüá╨¥╨ö╨ñ╨¢,**Что такое декларация 3-НДФЛ и для чего она нужна?**,53,9
╨ô╨╗╨░╨▓╨╜╨╛╨╡ ╨┐╤Ç╨╛ ╤ü╨░╨╝╨╛╤ü╤é╨╛╤Å╤é╨╡╨╗╤î╨╜╤â╤Ä ╤â╨┐╨╗╨░╤é╤â ╨╜╨░╨╗╨╛╨│╨╛╨▓ ╨╕ ╨┤╨╡╨║╨╗╨░╤Ç╨░╤å╨╕╤Ä 3Γüá-Γüá╨¥╨ö╨ñ╨¢,**В каких случаях нужно подавать декларацию 3-НДФЛ самостоятельно?**,68,8
╨ô╨╗╨░╨▓╨╜╨╛╨╡ ╨┐╤Ç╨╛ ╤ü╨░╨╝╨╛╤ü╤é╨╛╤Å╤é╨╡╨╗╤î╨╜╤â╤Ä ╤â╨┐╨╗╨░╤é╤â ╨╜╨░╨╗╨╛╨│╨╛╨▓ ╨╕ ╨┤╨╡╨║╨╗╨░╤Ç╨░╤å╨╕╤Ä 3Γüá-Γüá╨¥╨ö╨ñ╨¢,**Как самостоятельно рассчитать и уплатить налог с инвестиций?**,64,8
╨ô╨╗╨░╨▓╨╜╨╛╨╡ ╨┐╤Ç╨╛ ╤ü╨░╨╝╨╛╤ü╤é╨╛╤Å╤é╨╡╨╗╤î╨╜╤â╤Ä ╤â╨┐╨╗╨░╤é╤â ╨╜╨░╨╗╨╛╨│╨╛╨▓ ╨╕ ╨┤╨╡╨║╨╗╨░╤Ç╨░╤å╨╕╤Ä 3Γüá-Γüá╨¥╨ö╨ñ╨¢,**Какие документы нужно приложить к декларации 3-НДФЛ при продаже ценных бумаг или валюты?**,92,13
╨ó╨╛╤Ç╨│╨╛╨▓╨░╤é╤î ╨╜╨░ ╨ÿ╨ÿ╨í,**Как пополнить ИИС?**,22,3
╨ó╨╛╤Ç╨│╨╛╨▓╨░╤é╤î ╨╜╨░ ╨ÿ╨ÿ╨í,**Зачем нужно автопополнение ИИС?**,35,4
╨ó╨╛╤Ç╨│╨╛╨▓╨░╤é╤î ╨╜╨░ ╨ÿ╨ÿ╨í,**Нужно ли пополнять ИИС каждый год?**,38,6
╨ó╨╛╤Ç╨│╨╛╨▓╨░╤é╤î ╨╜╨░ ╨ÿ╨ÿ╨í,**Какая максимальная сумма пополнения ИИС?**,44,5
╨ó╨╛╤Ç╨│╨╛╨▓╨░╤é╤î ╨╜╨░ ╨ÿ╨ÿ╨í,**Есть ли комиссия за пополнение ИИС?**,39,6
╨ú╤ç╨░╤ü╤é╨╜╨╕╨║╨╕ ╤Ç╤ï╨╜╨║╨░ ╤å╨╡╨╜╨╜╤ï╤à ╨▒╤â╨╝╨░╨│,**Что такое брокерский счет и зачем он нужен?**,47,8
╨ú╤ç╨░╤ü╤é╨╜╨╕╨║╨╕ ╤Ç╤ï╨╜╨║╨░ ╤å╨╡╨╜╨╜╤ï╤à ╨▒╤â╨╝╨░╨│,**Кто такой брокер и как он работает?**,39,7
╨ú╤ç╨░╤ü╤é╨╜╨╕╨║╨╕ ╤Ç╤ï╨╜╨║╨░ ╤å╨╡╨╜╨╜╤ï╤à ╨▒╤â╨╝╨░╨│,**Что такое депозитарий и зачем он нужен?**,43,7
╨ú╤ç╨░╤ü╤é╨╜╨╕╨║╨╕ ╤Ç╤ï╨╜╨║╨░ ╤å╨╡╨╜╨╜╤ï╤à ╨▒╤â╨╝╨░╨│,**Кто такой регистратор или реестродержатель и зачем он нужен?**,64,9
╨ú╤ç╨░╤ü╤é╨╜╨╕╨║╨╕ ╤Ç╤ï╨╜╨║╨░ ╤å╨╡╨╜╨╜╤ï╤à ╨▒╤â╨╝╨░╨│,**Что такое маржинальная торговля и как она работает?**,55,8
╨ƒ╨╛╨╗╤â╤ç╨░╤é╤î ╨┤╨╛╤à╨╛╨┤ ╨┐╨╛ ╨ÿ╨ÿ╨í,Что такое индивидуальный инвестиционный счет (ИИС)?,51,6
╨ƒ╨╛╨╗╤â╤ç╨░╤é╤î ╨┤╨╛╤à╨╛╨┤ ╨┐╨╛ ╨ÿ╨ÿ╨í,Какие существуют типы налоговых вычетов по ИИС?,47,7
╨ƒ╨╛╨╗╤â╤ç╨░╤é╤î ╨┤╨╛╤à╨╛╨┤ ╨┐╨╛ ╨ÿ╨ÿ╨í,Когда нужно выбирать вычет по ИИС?,34,6
╨ƒ╨╛╨╗╤â╤ç╨░╤é╤î ╨┤╨╛╤à╨╛╨┤ ╨┐╨╛ ╨ÿ╨ÿ╨í,Как рассчитать сумму налогового вычета по ИИС?,46,7
╨ƒ╨╛╨╗╤â╤ç╨░╤é╤î ╨┤╨╛╤à╨╛╨┤ ╨┐╨╛ ╨ÿ╨ÿ╨í,"Можно ли продолжать получать налоговый вычет по ИИС, если счет открыт уже 4 года?",81,14
╨Ü╨░╨║ ╨▓╤ï╨▓╨╡╤ü╤é╨╕ ╨┤╨╡╨╜╤î╨│╨╕ ╤ü ╨ÿ╨ÿ╨í,"**Что произойдет, если закрыть ИИС раньше минимального срока владения?**",72,9
╨Ü╨░╨║ ╨▓╤ï╨▓╨╡╤ü╤é╨╕ ╨┤╨╡╨╜╤î╨│╨╕ ╤ü ╨ÿ╨ÿ╨í,**Можно ли частично вывести деньги с ИИС?**,43,7
╨Ü╨░╨║ ╨▓╤ï╨▓╨╡╤ü╤é╨╕ ╨┤╨╡╨╜╤î╨│╨╕ ╤ü ╨ÿ╨ÿ╨í,**Можно ли закрыть ИИС досрочно?**,34,5
╨Ü╨░╨║ ╨▓╤ï╨▓╨╡╤ü╤é╨╕ ╨┤╨╡╨╜╤î╨│╨╕ ╤ü ╨ÿ╨ÿ╨í,**Как быстро деньги поступят на карту после закрытия ИИС?**,59,9
╨Ü╨░╨║ ╨▓╤ï╨▓╨╡╤ü╤é╨╕ ╨┤╨╡╨╜╤î╨│╨╕ ╤ü ╨ÿ╨ÿ╨í,**Что происходит с бумагами на счете при закрытии ИИС?**,56,9
"╨ƒ╨░╨╕ ╨╕ ╨░╨║╤å╨╕╨╕ ETF, ╨╜╨╡ ╨▓╨║╨╗╤Ä╤ç╨╡╨╜╨╜╤ï╨╡ ╨▓ ╨║╨╛╤é╨╕╤Ç╨╛╨▓╨░╨╗╤î╨╜╤ï╨╡ ╤ü╨┐╨╕╤ü╨║╨╕","**Что такое паи ETF, не включённые в котировальные списки, и почему они считаются более рискованными для частных инвесторов?**",126,18
"╨ƒ╨░╨╕ ╨╕ ╨░╨║╤å╨╕╨╕ ETF, ╨╜╨╡ ╨▓╨║╨╗╤Ä╤ç╨╡╨╜╨╜╤ï╨╡ ╨▓ ╨║╨╛╤é╨╕╤Ç╨╛╨▓╨░╨╗╤î╨╜╤ï╨╡ ╤ü╨┐╨╕╤ü╨║╨╕",**Почему цена паёв ETF может отклоняться от справедливой стоимости?**,69,9
"╨ƒ╨░╨╕ ╨╕ ╨░╨║╤å╨╕╨╕ ETF, ╨╜╨╡ ╨▓╨║╨╗╤Ä╤ç╨╡╨╜╨╜╤ï╨╡ ╨▓ ╨║╨╛╤é╨╕╤Ç╨╛╨▓╨░╨╗╤î╨╜╤ï╨╡ ╤ü╨┐╨╕╤ü╨║╨╕","**Какие риски связаны с инвестированием в паи ETF, не включённые в котировальные списки?**",90,13
"╨ƒ╨░╨╕ ╨╕ ╨░╨║╤å╨╕╨╕ ETF, ╨╜╨╡ ╨▓╨║╨╗╤Ä╤ç╨╡╨╜╨╜╤ï╨╡ ╨▓ ╨║╨╛╤é╨╕╤Ç╨╛╨▓╨░╨╗╤î╨╜╤ï╨╡ ╤ü╨┐╨╕╤ü╨║╨╕",**Как формируется цена паёв ETF и почему она должна соответствовать справедливой стоимости?**,93,12
"╨ƒ╨░╨╕ ╨╕ ╨░╨║╤å╨╕╨╕ ETF, ╨╜╨╡ ╨▓╨║╨╗╤Ä╤ç╨╡╨╜╨╜╤ï╨╡ ╨▓ ╨║╨╛╤é╨╕╤Ç╨╛╨▓╨░╨╗╤î╨╜╤ï╨╡ ╤ü╨┐╨╕╤ü╨║╨╕",**В каких случаях рыночная цена паёв ETF может резко отличаться от справедливой стоимости?**,92,13
╨ö╨╕╨▓╨╕╨┤╨╡╨╜╨┤╨╜╤ï╨╕╠å ╨┤╨╛╤à╨╛╨┤ ╨┐╨╛ ╨░╨║╤å╨╕╤Å╨╝,**Что такое дивиденды и как они выплачиваются компанией акционерам?**,69,9
╨ö╨╕╨▓╨╕╨┤╨╡╨╜╨┤╨╜╤ï╨╕╠å ╨┤╨╛╤à╨╛╨┤ ╨┐╨╛ ╨░╨║╤å╨╕╤Å╨╝,**Как найти дивидендные акции в приложении Т-Инвестиций?**,58,7
╨ö╨╕╨▓╨╕╨┤╨╡╨╜╨┤╨╜╤ï╨╕╠å ╨┤╨╛╤à╨╛╨┤ ╨┐╨╛ ╨░╨║╤å╨╕╤Å╨╝,**Как получать дивиденды по акциям российских и иностранных компаний?**,71,9
╨ö╨╕╨▓╨╕╨┤╨╡╨╜╨┤╨╜╤ï╨╕╠å ╨┤╨╛╤à╨╛╨┤ ╨┐╨╛ ╨░╨║╤å╨╕╤Å╨╝,**Что такое дивидендный гэп и как он влияет на цену акций?**,60,11
╨ö╨╕╨▓╨╕╨┤╨╡╨╜╨┤╨╜╤ï╨╕╠å ╨┤╨╛╤à╨╛╨┤ ╨┐╨╛ ╨░╨║╤å╨╕╤Å╨╝,**Почему налог удерживают дважды: при поступлении дивидендов и при выводе денег с брокерского счета?**,102,14
╨¡╨╝╨╕╤ü╤ü╨╕╨╛╨╜╨╜╤ï╨╡ ╤å╨╡╨╜╨╜╤ï╨╡ ╨▒╤â╨╝╨░╨│╨╕: ╨▓╨╕╨┤╤ï ╨╕ ╨┐╤Ç╨╕╨╖╨╜╨░╨║╨╕,**Что такое эмиссия ценных бумаг и зачем она нужна компании?**,62,10
╨¡╨╝╨╕╤ü╤ü╨╕╨╛╨╜╨╜╤ï╨╡ ╤å╨╡╨╜╨╜╤ï╨╡ ╨▒╤â╨╝╨░╨│╨╕: ╨▓╨╕╨┤╤ï ╨╕ ╨┐╤Ç╨╕╨╖╨╜╨░╨║╨╕,**Какие виды эмиссии ценных бумаг существуют?**,47,6
╨¡╨╝╨╕╤ü╤ü╨╕╨╛╨╜╨╜╤ï╨╡ ╤å╨╡╨╜╨╜╤ï╨╡ ╨▒╤â╨╝╨░╨│╨╕: ╨▓╨╕╨┤╤ï ╨╕ ╨┐╤Ç╨╕╨╖╨╜╨░╨║╨╕,**Что такое проспект эмиссии ценных бумаг (акций)?**,52,7
╨¡╨╝╨╕╤ü╤ü╨╕╨╛╨╜╨╜╤ï╨╡ ╤å╨╡╨╜╨╜╤ï╨╡ ╨▒╤â╨╝╨░╨│╨╕: ╨▓╨╕╨┤╤ï ╨╕ ╨┐╤Ç╨╕╨╖╨╜╨░╨║╨╕,**Что такое ISIN и тикер?**,27,5
╨¡╨╝╨╕╤ü╤ü╨╕╨╛╨╜╨╜╤ï╨╡ ╤å╨╡╨╜╨╜╤ï╨╡ ╨▒╤â╨╝╨░╨│╨╕: ╨▓╨╕╨┤╤ï ╨╕ ╨┐╤Ç╨╕╨╖╨╜╨░╨║╨╕,**Каковы основные признаки эмиссионных ценных бумаг?**,54,6
╨Ü╨░╨║ ╤Ç╨░╨▒╨╛╤é╨░╨╡╤é ╤Ç╤ï╨╜╨╛╨║ ╤å╨╡╨╜╨╜╤ï╤à ╨▒╤â╨╝╨░╨│,Что такое рынок ценных бумаг?,29,5
╨Ü╨░╨║ ╤Ç╨░╨▒╨╛╤é╨░╨╡╤é ╤Ç╤ï╨╜╨╛╨║ ╤å╨╡╨╜╨╜╤ï╤à ╨▒╤â╨╝╨░╨│,Какие основные участники рынка ценных бумаг?,44,6
╨Ü╨░╨║ ╤Ç╨░╨▒╨╛╤é╨░╨╡╤é ╤Ç╤ï╨╜╨╛╨║ ╤å╨╡╨╜╨╜╤ï╤à ╨▒╤â╨╝╨░╨│,Что такое брокерский счет и как его открыть?,44,8
╨Ü╨░╨║ ╤Ç╨░╨▒╨╛╤é╨░╨╡╤é ╤Ç╤ï╨╜╨╛╨║ ╤å╨╡╨╜╨╜╤ï╤à ╨▒╤â╨╝╨░╨│,Что такое акции и как на них заработать?,40,8
╨Ü╨░╨║ ╤Ç╨░╨▒╨╛╤é╨░╨╡╤é ╤Ç╤ï╨╜╨╛╨║ ╤å╨╡╨╜╨╜╤ï╤à ╨▒╤â╨╝╨░╨│,Что такое облигации и как на них заработать?,44,8
╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╛╨╜╨╜╤ï╨╡ ╤ü╤ç╨╡╤é╨░,**Что такое брокерский счет и как его открыть в Т‑Банке?**,58,10
╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╛╨╜╨╜╤ï╨╡ ╤ü╤ç╨╡╤é╨░,**Какие преимущества имеет Инвесткопилка в Т‑Банке?**,53,6
╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╛╨╜╨╜╤ï╨╡ ╤ü╤ç╨╡╤é╨░,**Какие налоги нужно платить по ИИС (индивидуальному инвестиционному счету)?**,78,9
╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╛╨╜╨╜╤ï╨╡ ╤ü╤ç╨╡╤é╨░,**Какие услуги предоставляет Т‑Банк для бизнеса?**,50,6
╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╛╨╜╨╜╤ï╨╡ ╤ü╤ç╨╡╤é╨░,**Какие страховые услуги предлагает Т‑Банк?**,45,5
╨ÿ╨╜╨╛╤ü╤é╤Ç╨░╨╜╨╜╤ï╨╡ ETF,**Что такое иностранные ETF-фонды и как они работают на российском рынке?**,75,11
╨ÿ╨╜╨╛╤ü╤é╤Ç╨░╨╜╨╜╤ï╨╡ ETF,**Какие риски связаны с инвестированием в иностранные ETF-фонды?**,66,8
╨ÿ╨╜╨╛╤ü╤é╤Ç╨░╨╜╨╜╤ï╨╡ ETF,**Какие налоги нужно платить при инвестировании в иностранные ETF-фонды?**,74,9
╨ÿ╨╜╨╛╤ü╤é╤Ç╨░╨╜╨╜╤ï╨╡ ETF,**Какие преимущества у иностранных ETF-фондов перед российскими аналогами?**,76,8
╨ÿ╨╜╨╛╤ü╤é╤Ç╨░╨╜╨╜╤ï╨╡ ETF,**Как выбрать подходящий иностранный ETF-фонд для инвестирования?**,67,7
╨¢╨╕╤ç╨╜╤ï╨╕╠å ╨║╨░╨▒╨╕╨╜╨╡╤é ╨╜╨░╨╗╨╛╨│╨╛╨┐╨╗╨░╤é╨╡╨╗╤î╤ë╨╕╨║╨░ ╨╕ ╨║╨░╨║ ╨╕╨╝ ╨┐╨╛╨╗╤î╨╖╨╛╨▓╨░╤é╤î╤ü╤Å,**Как открыть личный кабинет налогоплательщика?**,49,5
╨¢╨╕╤ç╨╜╤ï╨╕╠å ╨║╨░╨▒╨╕╨╜╨╡╤é ╨╜╨░╨╗╨╛╨│╨╛╨┐╨╗╨░╤é╨╡╨╗╤î╤ë╨╕╨║╨░ ╨╕ ╨║╨░╨║ ╨╕╨╝ ╨┐╨╛╨╗╤î╨╖╨╛╨▓╨░╤é╤î╤ü╤Å,**Как войти в личный кабинет налогоплательщика?**,49,6
╨¢╨╕╤ç╨╜╤ï╨╕╠å ╨║╨░╨▒╨╕╨╜╨╡╤é ╨╜╨░╨╗╨╛╨│╨╛╨┐╨╗╨░╤é╨╡╨╗╤î╤ë╨╕╨║╨░ ╨╕ ╨║╨░╨║ ╨╕╨╝ ╨┐╨╛╨╗╤î╨╖╨╛╨▓╨░╤é╤î╤ü╤Å,**Что можно делать в личном кабинете налогоплательщика?**,57,7
╨¢╨╕╤ç╨╜╤ï╨╕╠å ╨║╨░╨▒╨╕╨╜╨╡╤é ╨╜╨░╨╗╨╛╨│╨╛╨┐╨╗╨░╤é╨╡╨╗╤î╤ë╨╕╨║╨░ ╨╕ ╨║╨░╨║ ╨╕╨╝ ╨┐╨╛╨╗╤î╨╖╨╛╨▓╨░╤é╤î╤ü╤Å,**Что такое электронная цифровая подпись (ЭЦП) в личном кабинете налогоплательщика и как её получить или продлить?**,116,16
╨óΓÇæ╨ƒ╨╛╨╝╨╛╤ë╤î. ╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╕,**Как открыть брокерский счет и начать инвестировать в ценные бумаги?**,71,10
╨óΓÇæ╨ƒ╨╛╨╝╨╛╤ë╤î. ╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╕,**Какие инструменты доступны для инвестирования через брокерский счет?**,72,8
╨óΓÇæ╨ƒ╨╛╨╝╨╛╤ë╤î. ╨ÿ╨╜╨▓╨╡╤ü╤é╨╕╤å╨╕╨╕,**Как удерживается налог с доходов от инвестиций?**,51,7
